"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","34","ec:1.21.99.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.21.99.5","rn:R05501",217,441,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,2,4404,0.0454132606721163,0,1,0,0,0.00471698113207547,1,1.16879697178534e-17,3,2,3,1,0,0,"NHNB"
"entry1","35","ec:1.21.99.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.21.99.5","rn:R05500",217,394,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,2,4404,0.0454132606721163,0,1,0,0,0.00471698113207547,1,1.16879697178534e-17,3,2,3,1,0,0,"NHNB"
"entry2","36","ec:1.21.99.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.21.99.5","rn:R05499",108,393,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,2,4404,0.0454132606721163,0,1,0,0,0.00471698113207547,1,1.16879697178534e-17,3,2,3,1,0,0,"NHNB"
"entry3","37","ec:1.18.6.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.18.6.1","rn:R05496",490,355,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,505,4404,11.4668483197094,0,2,0,0,0.004739336492891,2,1.16879697178534e-17,2,2,3,2,0,4.14996217019843e-17,"NHB"
"entry5","40","ec:3.3.2.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.3.2.10","rn:R05842",600,370,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,0,4404,0,0.00416666666666667,1,1,1,0.004149377593361,2,1,3,2,3,2,0,3.89719276011884e-17,"NHNB"
"entry6","41","ec:1.14.13.69","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.13.69","rn:R05444",540,394,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",1,5,4404,0.113533151680291,0.0125,1,1,0.333333333333333,0.004149377593361,2,1,2,2,3,3,0,0,"HB"
"entry7","42","ec:4.2.1.112","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.112","rn:R05380",552,323,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,2,4404,0.0454132606721163,0,0,0,0,0.00367647058823529,2,0,3,2,3,1,0,0,"NHNB"
"entry22","58","ec:3.8.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.8.1.5","rn:R05367",324,125,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,442,4404,10.0363306085377,0,3,0,0,0.00552486187845304,3,1.16879697178534e-17,3,2,3,3,0,1,"HNB"
"entry24","61","ec:3.8.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.8.1.5","rn:R05368",324,180,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,442,4404,10.0363306085377,0,3,0,0,0.00552486187845304,3,1.16879697178534e-17,3,2,3,3,0,1,"HNB"
"entry26","64","ec:1.1.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.1","rn:R05233",434,125,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,3928,4404,89.1916439600363,0.00416666666666667,1,0,0,0.00442477876106195,3,0,2,2,3,2,0.380852082065855,0,"NHNB"
"entry28","67","ec:1.1.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.1","rn:R05234",434,180,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00625",0,3928,4404,89.1916439600363,0.00416666666666667,1,0,0,0.00442477876106195,3,0,2,2,3,2,0.380852082065855,0,"NHNB"
