"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","39","ec:6.2.1.53","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.53","rn:R06746",711,516,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",0,0,4668,0,0,1,0,0,0.00510204081632653,1,0,1,1,4,1,1.8420966502399e-17,0,"NHNB"
"entry2","40","ec:1.3.8.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.8.14","rn:R06747",711,613,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",0,0,4668,0,0,0,0,0,0.00476190476190476,1,0,1,1,4,1,1.8420966502399e-17,0,"NHNB"
"entry3","46","ec:2.1.3.12","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.3.12","rn:R06772",1008,771,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",0,1,4668,0.0214224507283633,0,1,0,0,0.00625,2,0,4,1,4,1,1.8420966502399e-17,0,"NHNB"
"entry4","47","ec:2.1.1.285","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.1.285","rn:R06771",1007,677,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",1,1,4668,0.0214224507283633,0.0164835164835165,1,0,0,0.00584795321637427,2,0,3,1,4,2,3.68419330047979e-17,0,"NHB"
"entry5","48","ec:2.4.1.302","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.1.302","rn:R06770",1007,604,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",1,1,4668,0.0214224507283633,0.021978021978022,1,0,0,0.00546448087431694,2,0,2,1,4,2,3.68419330047979e-17,0,"NHB"
"entry6","49","ec:6.3.1.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.3.1.15","rn:R10453",1008,434,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",1,1,4668,0.0214224507283633,0.0164835164835165,1,0,0,0.00510204081632653,2,0,3,1,4,2,3.68419330047979e-17,0,"NHB"
"entry7","55","ec:1.13.12.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.12.23","rn:R06759",340,398,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",0,1,4668,0.0214224507283633,0,0,0,0,0.00476190476190476,2,0,4,1,4,1,1.8420966502399e-17,0,"NHNB"
"entry8","56","ec:1.13.11.83","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.83","rn:R06758",245,355,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00401",0,1,4668,0.0214224507283633,0,1,0,0,0.00510204081632653,3,0,2,1,4,1,1.8420966502399e-17,0.455790797348458,"NHNB"
"entry17","65","ec:2.6.1.57","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.57","rn:R00734",270,193,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00401",0,1476,4668,31.6195372750643,0,3,2,0.666666666666667,0.00645161290322581,3,0,2,1,4,3,3.68419330047979e-17,1,"NHNB"
"entry18","66","ec:2.6.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.5","rn:R00734",270,174,"rectangle",46,17,"#000000","#BFBFFF","reversible","ec","00401",0,0,4668,0,0,3,2,0.666666666666667,0.00645161290322581,3,0,2,1,4,3,3.68419330047979e-17,1,"NHNB"
