"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","28","ec:1.14.11.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.11.17","rn:R05320",274,365,"rectangle",46,17,"#000000","#BFBFFF",2589,"irreversible","ec","00430",0,0,0,0,1064,5338,19.9325590108655,0,8,21,0.75,0.0169491525423729,4,0,3,3,5,8,9.07265873566886e-17,1,"NHNB"
"entry2","31","ec:1.2.1.73","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.73","rn:R06980",428,472,"rectangle",46,17,"#000000","#BFBFFF",2590,"irreversible","ec","00430",0,0,0,0,0,5338,0,0.0110294117647059,2,5,0.833333333333333,0.0116279069767442,4,0.027777777777777,4,3,5,4,0.238924711537226,0.130917002277803,"NHNB"
"entry3","32","ec:1.4.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.4.1.1","rn:R00396",413,368,"rectangle",46,17,"#000000","#BFBFFF",2591,"reversible","ec","00430",0,0,0,0,2670,5338,50.0187336080929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry9","38","ec:2.3.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.8","rn:R00230",213,433,"rectangle",46,17,"#000000","#BFBFFF",2592,"reversible","ec","00430",0,0,0,0,3692,5338,69.1644810790558,0,2,1,1,0.0123456790123457,4,0,5,3,5,2,2.26816468391721e-17,0.0733794077672483,"NHNB"
"entry11","40","ec:2.3.3.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.3.15","rn:R05651",320,433,"rectangle",46,17,"#000000","#BFBFFF",2593,"irreversible","ec","00430",1,2,2,1,242,5338,4.53353315848632,0.0661764705882353,3,8,0.380952380952381,0.0117647058823529,4,0.0277777777777772,4,3,5,7,0.314624298728759,0.137283957237776,"NHB"
"entry14","43","ec:2.6.1.77","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.77","rn:R05652",362,368,"rectangle",46,17,"#000000","#BFBFFF",2594,"reversible","ec","00430",0,0,0,0,108,5338,2.02322967403522,0.0919117647058824,5,18,0.5,0.00704225352112676,3,0.0555555555555544,3,3,5,9,0.328539212259722,0.808010852042161,"HNB"
"entry19","49","ec:2.7.3.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.3.4","rn:R03785",601,303,"rectangle",46,17,"#000000","#BFBFFF",2595,"irreversible","ec","00430",0,0,0,0,0,5338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry20","50","ec:4.1.1.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.29","rn:R01682",300,313,"rectangle",46,17,"#000000","#BFBFFF",2596,"irreversible","ec","00430",0,0,0,0,182,5338,3.4095166729112,0.0257352941176471,4,14,0.666666666666667,0.00574712643678161,3,0.0833333333333318,3,3,5,7,0.580216078092456,0.627420540578446,"NHNB"
"entry21","51","ec:4.1.1.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.15","rn:R01682",300,292,"rectangle",46,17,"#000000","#BFBFFF",2597,"irreversible","ec","00430",0,0,0,0,1461,5338,27.3698014237542,0.0257352941176471,4,14,0.666666666666667,0.00574712643678161,3,0.0833333333333319,3,3,5,7,0.580216078092456,0.627420540578446,"NHNB"
"entry22","52","ec:4.4.1.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.4.1.10","rn:R00901",187,302,"rectangle",46,17,"#000000","#BFBFFF",2598,"irreversible","ec","00430",0,0,0,0,0,5338,0,0.0330882352941176,1,0,0,0.00389105058365759,1,0.166666666666665,4,3,5,3,0.273235713013686,3.34851909757056e-17,"NHNB"
"entry23","53","ec:1.8.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.8.1.3","rn:R01681",363,244,"rectangle",46,17,"#000000","#BFBFFF",2599,"irreversible","ec","00430",0,0,0,0,0,5338,0,0.0992647058823529,5,21,0.466666666666667,0.00452488687782805,3,0.249999999999997,3,3,5,10,0.853451791106142,0.469474241435189,"HNB"
"entry24","54","ec:1.13.11.20","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.20","rn:R00893",187,195,"rectangle",46,17,"#000000","#BFBFFF",2600,"irreversible","ec","00430",0,0,0,0,404,5338,7.56837766953915,0.00735294117647059,2,0,0,0.00367647058823529,5,0.166666666666667,5,3,5,3,0,0.0505845851627291,"NHNB"
"entry25","55","ec:1.13.11.19","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.19","rn:R02467",300,145,"rectangle",46,17,"#000000","#BFBFFF",2601,"irreversible","ec","00430",0,0,0,0,331,5338,6.20082427875609,0,2,2,0.666666666666667,0.00367647058823529,2,0.25,4,3,5,3,0.102225796578033,0.0505845851627291,"NHNB"
"entry26","56","ec:4.1.1.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.29","rn:R02466",300,204,"rectangle",46,17,"#000000","#BFBFFF",2602,"irreversible","ec","00430",0,0,0,0,197,5338,3.69052079430498,0,0,1,0.333333333333333,0.00326797385620915,5,0.666666666666674,4,3,5,3,0.124254905127296,1.50405539460332e-17,"NHNB"
"entry27","57","ec:4.1.1.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.15","rn:R02466",300,183,"rectangle",46,17,"#000000","#BFBFFF",2603,"irreversible","ec","00430",0,0,0,0,1461,5338,27.3698014237542,0,0,1,0.333333333333333,0.00326797385620915,5,0.666666666666674,4,3,5,3,0.124254905127296,1.50405539460332e-17,"NHNB"
"entry28","58","ec:2.3.2.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.2.2","rn:R01687",446,231,"rectangle",46,17,"#000000","#BFBFFF",2604,"irreversible","ec","00430",0,0,0,0,3546,5338,66.4293742974897,0,1,19,0.904761904761905,0.00346020761245675,3,0.499999999999997,3,3,5,7,0.955677587684175,0.203551663054696,"NHNB"
