"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry","9","ec:1.14.14.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.25","rn:R07207",178,209,"rectangle",46,17,"#000000","#BFBFFF",794,"irreversible","ec","00120",1,7,2,1,141,145,97.2413793103448,0,4,3,0.5,0.000772200772200772,1,0,6,1,6,4,8.89003531312408e-17,0,"HB"
"entry1","14","ec:1.14.14.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.29","rn:R07372",539,289,"rectangle",46,17,"#000000","#BFBFFF",795,"irreversible","ec","00120",0,0,0,0,144,145,99.3103448275862,0.00101010101010101,1,0,0,0.000493827160493827,1,2.33590273695426e-16,7,1,6,2,2.76939923925866e-17,7.34323306905596e-17,"NHNB"
"entry2","15","ec:1.14.14.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.23","rn:R07372",489,289,"rectangle",46,17,"#000000","#BFBFFF",796,"irreversible","ec","00120",0,0,0,0,145,145,100,0.00101010101010101,1,0,0,0.000493827160493827,1,2.44736681770551e-16,7,1,6,2,2.76939923925866e-17,7.34323306905596e-17,"NHNB"
"entry3","16","ec:1.14.14.29","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.29","rn:R07209",299,289,"rectangle",46,17,"#000000","#BFBFFF",797,"irreversible","ec","00120",1,7,1,0.5,144,145,99.3103448275862,0.00101010101010101,1,0,0,0.000493827160493827,1,7.2730437983026e-17,7,1,6,2,0,7.80358848838613e-18,"NHB"
"entry4","24","ec:1.3.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.3","rn:R04817",202,524,"rectangle",46,17,"#000000","#BFBFFF",798,"irreversible","ec","00120",0,0,0,0,139,145,95.8620689655172,0.00707070707070707,1,0,0,0.000540248514316586,2,7.48182413997661e-17,5,1,6,2,2.76939923925866e-17,7.80358848838613e-18,"NHNB"
"entry5","26","ec:1.1.1.50","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.50","rn:R04824 rn:R04825",516,581,"rectangle",46,17,"#000000","#BFBFFF",799,"irreversible","ec","00120",0,0,0,0,12,145,8.27586206896552,0.00202020202020202,1,1,0.333333333333333,0.000493827160493827,2,3.19232050267036e-16,7,1,6,3,0,1.49850226405623e-16,"NHNB"
"entry6","28","ec:1.14.15.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.15","rn:R04807",516,636,"rectangle",46,17,"#000000","#BFBFFF",800,"irreversible","ec","00120",0,0,0,0,144,145,99.3103448275862,0,0,1,1,0.000483091787439614,2,4.20839832726509e-16,8,1,6,2,0,0,"NHNB"
"entry7","33","ec:5.1.99.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.99.4","rn:R08734",516,856,"rectangle",46,17,"#000000","#BFBFFF",801,"irreversible","ec","00120",1,7,2,1,141,145,97.2413793103448,0.00202020202020202,1,0,0,0.000504795557799091,3,6.20563230362318e-17,2,1,6,2,9.14497816837701e-17,7.80358848838613e-18,"NHB"
"entry8","35","ec:1.17.99.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.17.99.3","rn:R08735",516,913,"rectangle",46,17,"#000000","#BFBFFF",802,"irreversible","ec","00120",1,7,1,0.5,107,145,73.7931034482759,0.00151515151515152,1,0,0,0.000493827160493827,3,6.2747841226486e-17,3,1,6,2,9.14497816837701e-17,7.80358848838613e-18,"NHB"
"entry9","40","ec:1.1.1.50","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.50","rn:R04818 rn:R04819",202,582,"rectangle",46,17,"#000000","#BFBFFF",803,"irreversible","ec","00120",0,0,0,0,12,145,8.27586206896552,0.00707070707070707,2,1,0.333333333333333,0.000528541226215645,2,2.33106388288264e-17,6,1,6,3,9.27621820159773e-17,1.74244368907325e-16,"NHNB"
"entry10","47","ec:1.14.99.38","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.99.38","rn:R07218",297,209,"rectangle",46,17,"#000000","#BFBFFF",804,"irreversible","ec","00120",1,7,2,1,143,145,98.6206896551724,0.00101010101010101,3,3,0.5,0.000723065798987708,1,5.68666172811212e-17,6,1,6,4,0,0,"HB"
"entry11","49","ec:1.14.14.23","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.23","rn:R01463",352,289,"rectangle",46,17,"#000000","#BFBFFF",805,"irreversible","ec","00120",1,7,2,1,145,145,100,0.00909090909090909,2,3,0.5,0.000663129973474801,1,5.27604265954771e-17,5,1,6,4,0,0,"HB"
"entry12","50","ec:4.2.1.107","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.107","rn:R04813",518,969,"rectangle",46,17,"#000000","#BFBFFF",806,"irreversible","ec","00120",0,0,0,0,143,145,98.6206896551724,0,0,0,0,0.000483091787439614,3,6.47445896502321e-17,4,1,6,1,4.5724890841885e-17,0,"NHNB"
"entry13","52","ec:2.3.1.176","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.176","rn:R03719",516,1081,"rectangle",46,17,"#000000","#BFBFFF",807,"irreversible","ec","00120",0,0,0,0,145,145,100,0.00202020202020202,3,4,0.666666666666667,0.000554631170271769,4,0.135110705003158,2,1,6,4,6.43691771662824e-16,0,"HNB"
"entry14","54","ec:2.3.1.176","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.176","rn:R04811",202,1080,"rectangle",46,17,"#000000","#BFBFFF",808,"irreversible","ec","00120",0,0,0,0,145,145,100,0,3,2,0.666666666666667,0.000554631170271769,6,0,2,1,6,3,9.45580502376381e-17,0.360589927629554,"NHNB"
"entry15","60","ec:6.2.1.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.7","rn:R08743",180,1208,"rectangle",46,17,"#000000","#BFBFFF",809,"irreversible","ec","00120",0,0,0,0,65,145,44.8275862068966,0.00168350168350168,2,4,0.4,0.000516528925619835,6,2.26445824164803e-16,2,1,6,5,0.770466996314797,0.384599101768689,"HNB"
"entry16","61","ec:2.3.1.65","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.65","rn:R08744",280,1159,"rectangle",46,17,"#000000","#BFBFFF",810,"irreversible","ec","00120",0,0,0,0,118,145,81.3793103448276,0.00109427609427609,3,3,0.5,0.000505050505050505,6,2.65031177523491e-16,2,1,6,5,0.305878262624411,0.878557315783351,"HNB"
"entry17","62","ec:3.5.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.24","rn:R03975",280,1228,"rectangle",46,17,"#000000","#BFBFFF",811,"irreversible","ec","00120",0,0,0,0,0,145,0,0,0,2,0.666666666666667,0.000483091787439614,6,8.41679665453018e-16,2,1,6,4,1,0,"HNB"
"entry18","63","ec:1.14.15.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.15","rn:R08759",516,693,"rectangle",46,17,"#000000","#BFBFFF",812,"irreversible","ec","00120",0,0,0,0,144,145,99.3103448275862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry19","64","ec:1.14.15.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.15","rn:R08761",516,748,"rectangle",46,17,"#000000","#BFBFFF",813,"irreversible","ec","00120",0,0,0,0,144,145,99.3103448275862,0,1,0,0,0.000527426160337553,3,0,4,1,6,1,2.22250882828102e-17,3.90179424419307e-18,"NHNB"
"entry20","67","ec:1.14.15.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.15","rn:R08505",514,209,"rectangle",46,17,"#000000","#BFBFFF",814,"irreversible","ec","00120",1,7,2,1,144,145,99.3103448275862,0.00454545454545455,2,3,0.3,0.000516528925619835,1,1.97286416926132e-16,6,1,6,5,0,2.00451446372458e-16,"HB"
"entry21","68","ec:1.1.1.181","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.181","rn:R08728",637,351,"rectangle",46,17,"#000000","#BFBFFF",815,"irreversible","ec","00120",0,0,0,0,141,145,97.2413793103448,0,0,0,0,0.000483091787439614,7,3.23722948251161e-17,1,1,6,1,4.14758337303944e-17,0,"NHNB"
"entry22","69","ec:1.1.1.181","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.181","rn:R08724",514,351,"rectangle",46,17,"#000000","#BFBFFF",816,"irreversible","ec","00120",0,0,0,0,141,145,97.2413793103448,0,0,0,0,0.000483091787439614,1,6.47445896502321e-17,8,1,6,2,2.7693992067309e-17,0,"NHNB"
"entry23","70","ec:1.1.1.181","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.181","rn:R04263",352,351,"rectangle",46,17,"#000000","#BFBFFF",817,"irreversible","ec","00120",1,7,2,1,141,145,97.2413793103448,0.0121212121212121,2,0,0,0.000581057524694945,2,1.47335709341195e-16,4,1,6,3,0,1.22336361733188e-16,"NHB"
"entry24","71","ec:1.1.1.181","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.181","rn:R08723",298,351,"rectangle",46,17,"#000000","#BFBFFF",818,"irreversible","ec","00120",0,0,0,0,141,145,97.2413793103448,0,0,0,0,0.000483091787439614,1,6.47445896502321e-17,8,1,6,1,4.14758337303944e-17,0,"NHNB"
"entry25","73","ec:2.3.1.65","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.65","rn:R08745",121,1159,"rectangle",46,17,"#000000","#BFBFFF",819,"irreversible","ec","00120",0,0,0,0,118,145,81.3793103448276,0.000757575757575758,4,3,0.5,0.000541418516513265,6,5.40571146310226e-17,2,1,6,5,0.148011600053019,1,"HNB"
"entry26","81","ec:6.2.1.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.7","rn:R02794",496,1208,"rectangle",46,17,"#000000","#BFBFFF",820,"irreversible","ec","00120",0,0,0,0,65,145,44.8275862068966,0.00117845117845118,2,4,0.4,0.000505050505050505,4,0.28267775036753,2,1,6,5,1.41655030289009e-15,0,"HNB"
"entry27","82","ec:2.3.1.65","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.65","rn:R03718",593,1160,"rectangle",46,17,"#000000","#BFBFFF",821,"irreversible","ec","00120",0,0,0,0,118,145,81.3793103448276,0.000336700336700337,2,4,0.666666666666667,0.000493827160493827,4,0.443849530775763,2,1,6,5,1.52206565261639e-15,0,"HNB"
"entry28","83","ec:3.5.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.24","rn:R05835",592,1230,"rectangle",46,17,"#000000","#BFBFFF",822,"irreversible","ec","00120",0,0,0,0,0,145,0,0,0,2,0.666666666666667,0.000483091787439614,4,1,2,1,6,4,2.3874617653562e-15,0,"HNB"
"entry29","84","ec:3.5.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.24","rn:R02797",444,1229,"rectangle",46,17,"#000000","#BFBFFF",823,"irreversible","ec","00120",0,0,0,0,0,145,0,0,2,2,0.666666666666667,0.000554016620498615,4,0.147567045364372,2,1,6,4,1.56449530398335e-15,0,"HNB"
"entry30","86","ec:2.3.1.65","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.65","rn:R03720",444,1160,"rectangle",46,17,"#000000","#BFBFFF",824,"irreversible","ec","00120",0,0,0,0,118,145,81.3793103448276,0.00151515151515152,4,4,0.666666666666667,0.000554631170271769,4,0.0998445980872607,2,1,6,5,4.73959390791601e-16,0,"HNB"
"entry31","90","ec:1.14.18.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.18.8","rn:R04826",398,475,"rectangle",46,17,"#000000","#BFBFFF",825,"irreversible","ec","00120",0,0,0,0,142,145,97.9310344827586,0.00505050505050505,1,0,0,0.000515995872033024,2,9.00638592029333e-17,5,1,6,2,2.76939923925866e-17,7.80358848838613e-18,"NHNB"
"entry32","91","ec:1.14.14.26","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.14.26","rn:R07208",175,289,"rectangle",46,17,"#000000","#BFBFFF",826,"irreversible","ec","00120",1,7,1,0.5,116,145,80,0,0,0,0,0.000483091787439614,1,1.29489179300464e-16,7,1,6,2,0,0,"NHB"
"entry33","92","ec:6.2.1.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.7","rn:R08738",202,800,"rectangle",46,17,"#000000","#BFBFFF",827,"irreversible","ec","00120",1,7,1,0.5,65,145,44.8275862068966,0.00151515151515152,1,0,0,0.000515995872033024,5,5.15642144850245e-17,3,1,6,2,9.14497816837701e-17,7.80358848838613e-18,"NHB"
"entry34","93","ec:1.14.15.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.15","rn:R04806",202,634,"rectangle",46,17,"#000000","#BFBFFF",828,"irreversible","ec","00120",0,0,0,0,144,145,99.3103448275862,0,1,1,1,0.000516262261228704,2,4.85584422376741e-17,7,1,6,2,0,1.0689709977811e-16,"NHNB"
"entry35","94","ec:1.14.15.15","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.14.15.15","rn:R08758",202,691,"rectangle",46,17,"#000000","#BFBFFF",829,"irreversible","ec","00120",0,0,0,0,144,145,99.3103448275862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
