"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","57","ec:4.2.1.27","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.27","rn:R01367",300,654,"rectangle",46,17,"#000000","#BFBFFF",4304,"irreversible","ec","00650",0,0,0,0,0,5840,0,0,5,7,0.7,0.00138504155124654,5,4.60128287928533e-17,9,1,11,5,2.05461085448936e-16,0.270956475807472,"NHNB"
"entry2","58","ec:1.1.1.30","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.30","rn:R01361",350,573,"rectangle",46,17,"#000000","#BFBFFF",4305,"reversible","ec","00650",1,3,2,1,2016,5840,34.5205479452055,0.000725689404934688,5,7,0.466666666666667,0.00129366106080207,5,2.02128406481923e-17,9,1,11,6,0.0597576202622302,0.270956475807472,"NHB"
"entry3","59","ec:3.1.1.22","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.1.22","rn:R00048",350,511,"rectangle",46,17,"#000000","#BFBFFF",4306,"reversible","ec","00650",1,3,1,0.5,223,5840,3.81849315068493,0.000725689404934688,1,0,0,0.000355998576005696,5,6.29822508457406e-17,10,1,11,2,0.05975762026223,4.04543454199865e-17,"NHB"
"entry4","60","ec:2.8.3.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.8.3.5","rn:R00410",504,659,"rectangle",46,17,"#000000","#BFBFFF",4307,"reversible","ec","00650",0,0,0,0,2258,5840,38.6643835616438,0.00659167876149008,6,14,0.5,0.0010351966873706,5,7.24734687283941e-17,9,1,11,8,0.11951524052446,0.730613281473157,"HNB"
"entry5","61","ec:6.2.1.16","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.16","rn:R01357",509,589,"rectangle",46,17,"#000000","#BFBFFF",4308,"irreversible","ec","00650",0,0,0,0,1194,5840,20.4452054794521,0.00659167876149008,6,14,0.5,0.0010351966873706,5,6.07925156538862e-17,9,1,11,8,0.11951524052446,0.730613281473157,"HNB"
"entry6","62","ec:4.1.3.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.3.4","rn:R01360",830,675,"rectangle",46,17,"#000000","#BFBFFF",4309,"irreversible","ec","00650",0,0,0,0,2441,5840,41.7979452054795,0.0239477503628447,6,20,0.444444444444444,0.000982318271119843,5,2.66107178548386e-16,8,1,11,11,0.522638516227457,0.706393142787924,"HNB"
"entry7","63","ec:2.3.3.10","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.3.10","rn:R01978",830,627,"rectangle",46,17,"#000000","#BFBFFF",4310,"irreversible","ec","00650",0,0,0,0,1479,5840,25.3253424657534,0.0336236090953072,8,27,0.490909090909091,0.00099601593625498,5,3.08630359282086e-16,8,1,11,13,0.714703746749262,1,"HNB"
"entry8","64","ec:2.3.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.9","rn:R00238",830,589,"rectangle",46,17,"#000000","#BFBFFF",4311,"reversible","ec","00650",0,0,0,0,4348,5840,74.4520547945205,0.0315674891146589,6,27,0.490909090909091,0.00099304865938431,5,6.85491501889253e-16,8,1,11,12,1,0.672255393892909,"HNB"
"entry9","65","ec:1.1.1.157","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.157","rn:R01976",690,532,"rectangle",46,17,"#000000","#BFBFFF",4312,"reversible","ec","00650",0,0,0,0,2728,5840,46.7123287671233,0.0213473633284954,4,14,0.5,0.000491400491400491,5,5.12291042622839e-16,9,1,11,8,0.691068276989245,0.335270871323063,"HNB"
"entry10","66","ec:1.1.1.35","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.35","rn:R01975",640,532,"rectangle",46,17,"#000000","#BFBFFF",4313,"reversible","ec","00650",0,0,0,0,3120,5840,53.4246575342466,0.0213473633284954,4,14,0.5,0.000491400491400491,5,4.92318573907866e-16,9,1,11,8,0.691068276989245,0.335270871323063,"HNB"
