"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry12","45","ec:2.7.7.38","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.38","rn:R03351",759,476,"rectangle",46,17,"#000000","#BFBFFF",3319,"irreversible","ec","00540",1,5,2,1,2988,3578,83.5103409726104,0.0380952380952381,1,0,0,0.00125944584382872,6,0,6,1,9,2,6.58360215834687e-17,0,"NHB"
"entry13","46","ec:3.1.3.45","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.45","rn:R03350",851,476,"rectangle",46,17,"#000000","#BFBFFF",3320,"irreversible","ec","00540",1,5,2,1,2261,3578,63.1917272219117,0.026984126984127,1,0,0,0.00129198966408269,6,0,7,1,9,2,6.58360215834687e-17,0,"NHB"
"entry14","47","ec:2.7.1.130","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.130","rn:R04657",797,247,"rectangle",46,17,"#000000","#BFBFFF",3321,"irreversible","ec","00540",1,5,2,1,2887,3578,80.6875349357183,0.0634920634920635,3,3,0.5,0.00126582278481013,2,0,5,1,9,4,1.31672043166937e-16,7.47066667753239e-17,"NHB"
"entry21","54","ec:2.4.1.182","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.4.1.182","rn:R04606",875,197,"rectangle",46,17,"#000000","#BFBFFF",3322,"irreversible","ec","00540",1,5,2,1,3036,3578,84.8518725544997,0.053968253968254,1,1,0.333333333333333,0.0012987012987013,1,0,6,1,9,3,1.65028472952644e-16,0,"NHB"
"entry31","64","ec:5.3.1.28","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.3.1.28","rn:R05645",1030,650,"rectangle",46,17,"#000000","#BFBFFF",3323,"irreversible","ec","00540",0,0,0,0,2240,3578,62.6048071548351,0,1,0,0,0.000837520938023451,8,0,4,1,9,1,3.29180107917343e-17,0,"NHNB"
"entry32","65","ec:3.1.3.82","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.82","rn:R05647",851,650,"rectangle",46,17,"#000000","#BFBFFF",3324,"irreversible","ec","00540",1,5,2,1,2111,3578,58.9994410285075,0.00317460317460317,1,0,0,0.000793021411578113,8,0,2,1,9,2,6.58360215834687e-17,0,"NHB"
"entry33","66","ec:2.7.1.167","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.167","rn:R05646",948,650,"rectangle",46,17,"#000000","#BFBFFF",3325,"irreversible","ec","00540",1,5,1,0.5,1820,3578,50.8664058133035,0.00238095238095238,1,0,0,0.000814995925020375,8,0,3,1,9,2,6.58360215834687e-17,0,"NHB"
"entry34","67","ec:2.7.7.70","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.70","rn:R05644",759,650,"rectangle",46,17,"#000000","#BFBFFF",3326,"irreversible","ec","00540",1,5,1,0.5,1826,3578,51.0340972610397,0.00238095238095238,1,0,0,0.000771604938271605,8,0,3,1,9,2,6.58360215834687e-17,0,"NHB"
"entry35","68","ec:2.3.1.241","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.241","rn:R05146",450,289,"rectangle",46,17,"#000000","#BFBFFF",3327,"irreversible","ec","00540",1,5,2,1,2830,3578,79.0944661822247,0.0571428571428571,2,1,0.333333333333333,0.000952380952380952,3,0,7,1,9,3,1.28595633470167e-16,0,"NHB"
"entry36","69","ec:2.3.1.243","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.243","rn:R05075",450,384,"rectangle",46,17,"#000000","#BFBFFF",3328,"irreversible","ec","00540",1,5,2,1,636,3578,17.7752934600335,0.0515873015873016,5,10,0.666666666666667,0.000868055555555556,4,0,8,1,9,6,2.57191266940335e-16,1,"HB"
