"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry2","8","ec:3.5.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.24",NA,200,544,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,1,0.999946873257194,0,0,0,2,1,1,"HNB"
"entry5","16","ec:3.5.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.24",NA,176,1504,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,1,0.999946873257194,0,0,0,2,1,1,"HNB"
"entry11","37","ec:6.2.1.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.7",NA,462,1509,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,2,0.999884011237834,0,0,0,2,1,1,"HNB"
"entry12","39","ec:1.1.1.395","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.395",NA,714,1520,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,3,0.999837952352285,0,0,0,2,1,1,"HNB"
"entry13","41","ec:1.3.1.115","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.115",NA,939,1520,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,4,0.999929380913026,0,0,0,2,1,1,"HNB"
"entry14","43","ec:2.8.3.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.8.3.25",NA,1751,1347,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,5,0.999942379542785,0,0,0,2,1,1,"HNB"
"entry15","45","ec:4.2.1.106","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.106",NA,1044,1414,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,6,1,0,0,0,2,1,1,"HNB"
"entry16","49","ec:6.2.1.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.7",NA,458,1161,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,2,0.999884011237834,0,0,0,2,1,1,"HNB"
"entry17","51","ec:1.1.1.395","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.395",NA,714,1172,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,3,0.999837952352285,0,0,0,2,1,1,"HNB"
"entry18","53","ec:1.3.1.116","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.1.116",NA,937,1172,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,7,0.9999061463366,0,0,0,2,1,1,"HNB"
"entry19","55","ec:2.8.3.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.8.3.25",NA,458,1182,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,5,0.999942379542785,0,0,0,2,1,1,"HNB"
"entry20","59","ec:3.5.1.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.24",NA,176,1530,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,1,0.999946873257194,0,0,0,2,1,1,"HNB"
"entry21","60","ec:3.5.1.74","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.5.1.74",NA,176,1551,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,8,0.999904209636148,0,0,0,2,1,1,"HNB"
"entry63","3056","ec:2.8.3.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.8.3.25",NA,462,1530,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,5,0.999942379542785,0,0,0,2,1,1,"HNB"
"entry64","3279","ec:1.1.1.201","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.201",NA,307,272,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00121",0,0,0,0,0,1677,0,0,1,0,0,0.00367647058823529,9,0.999892880816254,0,0,0,2,1,1,"HNB"
