"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry5","13","ec:1.13.11.46","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.13.11.46","rn:R06632",352,157,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,50,5480,0.912408759124087,0,1,0,0,0.0175438596491228,1,0,2,1,3,1,1.07496882123731e-16,0.5,"NHNB"
"entry8","16","ec:1.1.3.46","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.3.46","rn:R06633",455,157,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",1,4,1,1,232,5480,4.23357664233577,0.0178571428571429,1,0,0,0.015625,1,0,1,1,3,2,1,1,"HB"
"entry9","17","ec:2.6.1.103","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.103","rn:R06626",563,157,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,76,5480,1.38686131386861,0,0,0,0,0.0138888888888889,1,0,2,1,3,1,0.5,1.07496882123731e-16,"NHNB"
"entry12","24","ec:2.5.1.38","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.38","rn:R10881",784,157,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,1,5480,0.0182481751824818,0,1,0,0,0.015625,2,0,1,1,3,1,1.07496882123731e-16,0.5,"NHNB"
"entry14","27","ec:5.1.1.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.1.14","rn:R10883",887,157,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,1,5480,0.0182481751824818,0,0,0,0,0.0138888888888889,2,0,1,1,3,1,0.5,1.07496882123731e-16,"NHNB"
"entry18","35","ec:2.5.1.38","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.5.1.38","rn:R03072",784,228,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,1,5480,0.0182481751824818,0,1,0,0,0.015625,2,0,1,1,3,1,1.07496882123731e-16,0.5,"NHNB"
"entry19","37","ec:5.1.1.14","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.1.14","rn:R03073",887,228,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,1,5480,0.0182481751824818,0,0,0,0,0.0138888888888889,2,0,1,1,3,1,0.5,1.07496882123731e-16,"NHNB"
"entry39","66","ec:2.7.2.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.2.4","rn:R00480",106,306,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,5415,5480,98.8138686131387,0,1,0,0,0.0196078431372549,3,0,3,1,3,1,1.07496882123731e-16,0.5,"NHNB"
"entry40","67","ec:1.2.1.11","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.11",NA,106,378,"rectangle",46,17,"#000000","#BFBFFF",NA,"ec","00261",1,4,1,1,0,5480,0,0.0357142857142857,1,0,0,0.0175438596491228,3,0,2,1,3,2,1,1,"HB"
"entry53","102","ec:1.17.1.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.17.1.8","rn:R04198 rn:R04199",106,522,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,5077,5480,92.6459854014599,0,0,0,0,0.0138888888888889,3,0,3,1,3,1,0.5,1.07496882123731e-16,"NHNB"
"entry54","103","ec:4.3.3.7","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.3.3.7","rn:R10147",106,450,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",1,4,1,1,5232,5480,95.4744525547445,0.0357142857142857,1,0,0,0.015625,3,0,2,1,3,2,1,1,"HB"
"entry56","119","ec:2.7.7.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.4","rn:R00529",703,363,"rectangle",46,17,"#000000","#BFBFFF","irreversible","ec","00261",0,0,0,0,3775,5480,68.8868613138686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
