"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry1","17","ec:2.7.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.2","rn:R00299",234,162,"rectangle",46,17,"#000000","#BFBFFF",3134,"irreversible","ec","00521",0,0,0,0,4046,5106,79.2401096748923,0,2,1,1,0.0175438596491228,1,0,7,6,7,2,0,1,"NHNB"
"entry2","18","ec:2.7.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.1","rn:R00299",184,162,"rectangle",46,17,"#000000","#BFBFFF",3135,"irreversible","ec","00521",0,0,0,0,72,5106,1.41010575793185,0,2,1,1,0.0175438596491228,1,0,7,6,7,2,0,1,"NHNB"
"entry5","21","ec:2.7.1.65","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.65","rn:R03384",99,380,"rectangle",46,17,"#000000","#BFBFFF",3136,"irreversible","ec","00521",1,2,2,0.333333333333333,1,5106,0.0195848021934978,0.0769230769230769,1,0,0,0.00636942675159236,2,0,9,6,7,2,0,0,"NHB"
"entry6","22","ec:3.1.3.25","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.25","rn:R01187",99,225,"rectangle",46,17,"#000000","#BFBFFF",3137,"irreversible","ec","00521",1,2,5,0.833333333333333,0,5106,0,0.0961538461538462,1,0,0,0.0078740157480315,1,0,6,6,7,2,0.267949192431123,0,"NHB"
"entry7","23","ec:5.5.1.4","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.5.1.4","rn:R07324",161,204,"rectangle",46,17,"#000000","#BFBFFF",3138,"irreversible","ec","00521",1,2,6,1,1016,5106,19.8981590285938,0.0769230769230769,2,2,0.333333333333333,0.015625,1,0,6,6,7,4,0.732050807568877,0.732050807568877,"HB"
"entry9","25","ec:1.1.1.133","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.133","rn:R02777",322,520,"rectangle",46,17,"#000000","#BFBFFF",3139,"irreversible","ec","00521",0,0,0,0,3521,5106,68.9580885233059,0,0,0,0,0.00549450549450549,3,0,11,6,7,1,0,0,"NHNB"
"entry25","41","ec:2.7.1.72","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.1.72","rn:R02225",167,878,"rectangle",46,17,"#000000","#BFBFFF",3140,"irreversible","ec","00521",0,0,0,0,5,5106,0.0979240109674892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry26","42","ec:3.1.3.39","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.39","rn:R02228",167,847,"rectangle",46,17,"#000000","#BFBFFF",3141,"irreversible","ec","00521",0,0,0,0,5,5106,0.0979240109674892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"entry27","43","ec:5.1.3.13","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.1.3.13","rn:R06514",322,428,"rectangle",46,17,"#000000","#BFBFFF",3142,"irreversible","ec","00521",1,2,1,0.166666666666667,3514,5106,68.8209949079514,0.0384615384615385,1,0,0,0.00591715976331361,3,0,10,6,7,2,0,0,"NHB"
"entry28","44","ec:4.2.1.46","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.46","rn:R06513",322,336,"rectangle",46,17,"#000000","#BFBFFF",3143,"irreversible","ec","00521",1,2,2,0.333333333333333,4016,5106,78.6525656090873,0.0641025641025641,1,0,0,0.00636942675159236,3,0,9,6,7,2,0,0,"NHB"
"entry29","45","ec:2.7.7.24","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.7.24","rn:R02328",322,244,"rectangle",46,17,"#000000","#BFBFFF",3144,"irreversible","ec","00521",1,2,3,0.5,3968,5106,77.7124951037995,0.0769230769230769,1,0,0,0.00684931506849315,3,0,8,6,7,2,0,0,"NHB"
"entry30","46","ec:5.4.2.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?5.4.2.2","rn:R08639",264,204,"rectangle",46,17,"#000000","#BFBFFF",3145,"reversible","ec","00521",1,2,4,0.666666666666667,4306,5106,84.3321582452017,0.0769230769230769,1,2,0.333333333333333,0.00735294117647059,1,0,7,6,7,4,1,0,"HB"
"entry31","47","ec:2.1.4.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.1.4.2","rn:R03477",99,432,"rectangle",46,17,"#000000","#BFBFFF",3146,"irreversible","ec","00521",1,2,1,0.166666666666667,2,5106,0.0391696043869957,0.0448717948717949,1,0,0,0.00591715976331361,2,0,10,6,7,2,0,0,"NHB"
"entry34","57","ec:1.1.1.18","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.18","rn:R01183",99,277,"rectangle",46,17,"#000000","#BFBFFF",3147,"irreversible","ec","00521",1,2,4,0.666666666666667,1258,5106,24.6376811594203,0.102564102564103,1,0,0,0.00735294117647059,2,0,7,6,7,2,0,0,"NHB"
"entry36","60","ec:2.6.1.50","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.50","rn:R02781",99,328,"rectangle",46,17,"#000000","#BFBFFF",3148,"irreversible","ec","00521",1,2,3,0.5,2,5106,0.0391696043869957,0.0961538461538462,1,0,0,0.00684931506849315,2,0,8,6,7,2,0,0,"NHB"
"entry41","70","ec:3.1.3.40","enzyme","http://www.kegg.jp/dbget-bin/www_bget?3.1.3.40","rn:R03496",99,484,"rectangle",46,17,"#000000","#BFBFFF",3149,"irreversible","ec","00521",0,0,0,0,0,5106,0,0,0,0,0,0.00549450549450549,2,0,11,6,7,1,0,0,"NHNB"
"entry42","71","ec:2.6.1.56","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.6.1.56","rn:R03502",99,578,"rectangle",46,17,"#000000","#BFBFFF",3150,"irreversible","ec","00521",0,0,0,0,0,5106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
