"","entryID","name","type","link","reaction","x","y","graphicalType","width","height","fgcolor","bgcolor","dictID","reaction_type","org","pathway","is_bottleneck","bottleneckDisconnectedComponents","bottleneckImpact","bottleneckNormalizedImpact","occurrences","totalSpecies","percentage","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"entry9","57","ec:2.3.1.9","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.1.9","rn:R00238",883,231,"rectangle",46,17,"#000000","#BFBFFF",4545,"irreversible","ec","00720",1,2,5,0.714285714285714,306,352,86.9318181818182,0.0766172506738545,5,35,0.777777777777778,0.00112739571589628,1,0.340118208604068,7,6,19,10,0.495427285120348,0.584290619341137,"HB"
"entry10","58","ec:1.2.7.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.7.1","rn:R01196",390,213,"rectangle",46,17,"#000000","#BFBFFF",4546,"irreversible","ec","00720",0,0,0,0,321,352,91.1931818181818,0.215642062340176,7,39,0.590909090909091,0.00113250283125708,1,0.472263078462053,7,6,19,12,0.0801260951825329,0.629413013483251,"HNB"
"entry11","59","ec:2.7.9.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.7.9.2","rn:R00199",266,283,"rectangle",46,17,"#000000","#BFBFFF",4547,"irreversible","ec","00720",0,0,0,0,283,352,80.3977272727273,0.00562409288824383,2,2,0.666666666666667,0.00108813928182807,1,0.022060618640837,7,6,19,3,0.0369253906926292,0.0663298026407083,"NHNB"
"entry12","60","ec:4.1.1.31","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.1.1.31","rn:R00345",242,416,"rectangle",46,17,"#000000","#BFBFFF",4548,"irreversible","ec","00720",0,0,0,0,182,352,51.7045454545455,0.0175461331121708,3,8,0.533333333333333,0.00106269925611052,1,0.0822243083512166,7,6,19,6,0.224333005420377,0.234672870979439,"NHNB"
"entry13","61","ec:1.1.1.37","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.37","rn:R00342",242,598,"rectangle",46,17,"#000000","#BFBFFF",4549,"irreversible","ec","00720",0,0,0,0,263,352,74.7159090909091,0,6,7,0.466666666666667,0.00140845070422535,1,1.43032535034015e-17,7,6,19,6,9.5932459632222e-17,0.319909390223148,"NHNB"
"entry14","62","ec:4.2.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.2","rn:R01082",242,806,"rectangle",46,17,"#000000","#BFBFFF",4550,"reversible","ec","00720",0,0,0,0,307,352,87.2159090909091,0.00145137880986938,5,1,0.0666666666666667,0.00119760479041916,1,0,7,6,19,6,0.0503372169562178,0.0106775209121126,"NHNB"
"entry15","63","ec:1.3.5.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.3.5.1","rn:R02164",336,865,"rectangle",46,17,"#000000","#BFBFFF",4551,"reversible","ec","00720",0,0,0,0,213,352,60.5113636363636,0,0,0,0,0.000349406009783368,1,1.95116473800636e-06,8,6,19,3,0.00216743608514347,2.57061268919019e-17,"NHNB"
"entry16","64","ec:6.2.1.5","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.5","rn:R00405",563,876,"rectangle",46,17,"#000000","#BFBFFF",4552,"irreversible","ec","00720",0,0,0,0,262,352,74.4318181818182,0.032656023222061,5,3,0.142857142857143,0.00106496272630458,1,3.10747982897243e-06,9,6,19,7,1.67447285755411e-05,0.00157185129771679,"NHNB"
"entry17","65","ec:1.2.1.76","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.76","rn:R09280",794,876,"rectangle",46,17,"#000000","#BFBFFF",4553,"irreversible","ec","00720",0,0,0,0,38,352,10.7954545454545,0,4,5,0.833333333333333,0.00114155251141553,1,1.43032535034015e-17,10,6,19,4,2.71335702603937e-17,5.39775433837264e-05,"NHNB"
"entry18","67","ec:6.2.1.40","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.40","rn:R09279",928,682,"rectangle",46,17,"#000000","#BFBFFF",4554,"irreversible","ec","00720",0,0,0,0,43,352,12.2159090909091,0,1,0,0,0.00118343195266272,8,1.43032535034015e-17,11,6,19,1,6.78339256509842e-18,9.37877692205064e-18,"NHNB"
"entry19","68","ec:4.2.1.120","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.120","rn:R10782",954,553,"rectangle",46,17,"#000000","#BFBFFF",4555,"irreversible","ec","00720",1,3,1,0.142857142857143,70,352,19.8863636363636,0.0319303338171263,1,0,0,0.00117096018735363,8,0,10,6,19,3,2.43097536265748e-17,0,"NHB"
"entry20","69","ec:4.2.1.17","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.17","rn:R03026",954,424,"rectangle",46,17,"#000000","#BFBFFF",4556,"irreversible","ec","00720",1,2,3,0.428571428571429,130,352,36.9318181818182,0.0468069666182874,1,0,0,0.00115740740740741,9,3.62211627636191e-18,9,6,19,2,4.58747057014549e-17,1.87575538441013e-17,"NHB"
"entry21","70","ec:1.1.1.35","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.35","rn:R01975",954,295,"rectangle",46,17,"#000000","#BFBFFF",4557,"irreversible","ec","00720",1,2,4,0.571428571428571,130,352,36.9318181818182,0.0609579100145138,1,0,0,0.00114285714285714,9,1.42280084732036e-17,8,6,19,2,4.58747057014549e-17,0.0871674443190542,"NHB"
"entry22","71","ec:1.2.7.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.7.3","rn:R01197",121,806,"rectangle",46,17,"#000000","#BFBFFF",4558,"irreversible","ec","00720",0,0,0,0,330,352,93.75,0.098451862602806,2,5,0.5,0.00108695652173913,1,3.94121049594325e-06,9,6,19,5,0.000264072947796824,3.11881996439905e-06,"NHNB"
"entry23","72","ec:1.1.1.42","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.1.1.42","rn:R00267",121,598,"rectangle",46,17,"#000000","#BFBFFF",4559,"irreversible","ec","00720",0,0,0,0,226,352,64.2045454545455,0.0937348814707305,1,0,0,0.00104493207941484,10,1.05741894917501e-06,8,6,19,2,4.90741197352497e-07,1.87575538441013e-17,"NHNB"
"entry24","73","ec:4.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.3","rn:R01900",121,478,"rectangle",46,17,"#000000","#BFBFFF",4560,"irreversible","ec","00720",0,0,0,0,221,352,62.7840909090909,0.0911949685534591,1,0,0,0.00107642626480086,10,2.83703404145865e-07,7,6,19,2,4.58747057014549e-17,1.87575538441013e-17,"NHNB"
"entry25","74","ec:4.2.1.3","enzyme","http://www.kegg.jp/dbget-bin/www_bget?4.2.1.3","rn:R01325",121,278,"rectangle",46,17,"#000000","#BFBFFF",4561,"irreversible","ec","00720",0,0,0,0,221,352,62.7840909090909,0.0886550556361877,2,1,0.333333333333333,0.00110987791342952,11,7.61170599130385e-08,7,6,19,3,4.7966229816111e-17,0.063702689291323,"NHNB"
"entry26","75","ec:2.3.3.8","enzyme","http://www.kegg.jp/dbget-bin/www_bget?2.3.3.8","rn:R00352",154,163,"rectangle",46,17,"#000000","#BFBFFF",4562,"irreversible","ec","00720",0,0,0,0,26,352,7.38636363636364,0.198726587877531,11,44,0.483516483516484,0.0011441647597254,1,0.306466332332166,6,6,19,15,0.194690487215745,1,"HNB"
"entry27","76","ec:6.2.1.1","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.2.1.1","rn:R00235",690,161,"rectangle",46,17,"#000000","#BFBFFF",4563,"irreversible","ec","00720",0,0,0,0,285,352,80.9659090909091,0.0192877876840141,8,36,0.8,0.00113636363636364,1,0.208931554432234,7,6,19,10,0.256385460626144,0.760563055390936,"HNB"
"entry28","83","ec:6.4.1.2","enzyme","http://www.kegg.jp/dbget-bin/www_bget?6.4.1.2","rn:R00742",653,276,"rectangle",46,17,"#000000","#BFBFFF",4564,"irreversible","ec","00720",0,0,0,0,101,352,28.6931818181818,0.315006220194899,5,35,0.777777777777778,0.00115340253748558,1,0.431371248529554,7,6,19,10,0.573648799961145,0.497123175022083,"HNB"
"entry29","84","ec:1.2.1.75","enzyme","http://www.kegg.jp/dbget-bin/www_bget?1.2.1.75","rn:R00740",653,336,"rectangle",46,17,"#000000","#BFBFFF",4565,"irreversible","ec","00720",0,0,0,0,34,352,9.65909090909091,0.3033381712627,1,0,0,0.000968054211035818,3,0.115736049317481,7,6,19,2,0.0782215148407971,1.87575538441013e-17,"NHNB"
